gene	S16FT	S16P	S17FT	S17P	S18FT	S18P	S19FT	S19P	S20FT	S20P	S21FT	S21P	S22FT	S22P	S23FT	S23P
ENSG00000009954.10	718	2217	2416	2158	3025	2847	1689	1832	2475	3612	2790	2432	2588	3984	2226	1679
ENSG00000010017.12	171	913	1113	807	1417	1196	762	876	1140	1164	1170	1890	1303	1523	1179	788
ENSG00000010030.13	59	33	70	81	75	253	129	251	124	384	10	78	17	31	127	564
ENSG00000010072.15	44	228	161	180	291	300	113	104	171	233	233	272	301	191	265	122
ENSG00000010165.19	445	779	1080	1573	773	1706	879	614	575	924	699	888	544	749	880	808
ENSG00000010219.13	487	482	893	384	424	852	885	698	628	238	651	366	434	314	413	660
ENSG00000010244.17	1269	4632	3747	2177	4142	3248	2579	1884	3080	3195	4112	4808	2899	5736	3602	2619
ENSG00000010256.10	3113	2060	3285	5123	2279	7916	5469	10254	2289	3031	2445	2368	1654	2413	2346	3627
ENSG00000010270.13	253	826	1423	864	881	798	960	714	1254	651	1255	1098	1127	1355	997	650
ENSG00000010278.12	1756	2571	6498	11007	5839	10329	5505	1027	6342	7368	4213	8739	8322	10656	6598	16576
ENSG00000010282.14	214	6	32	4	123	3	221	1	33	1	28	32	2	6	291	3
ENSG00000010292.12	234	791	1113	2919	2073	4447	755	868	973	1299	1056	1827	804	1220	1288	1063
ENSG00000010295.19	270	974	1666	115	846	183	1292	417	1332	363	1839	594	1267	202	673	1574
ENSG00000010310.8	322	7	286	27	529	89	793	889	76	58	7	269	15	82	1513	73
ENSG00000010318.20	76	55	142	55	205	109	95	165	130	91	135	150	86	125	162	84
ENSG00000010319.6	68	114	418	75	459	90	248	194	511	121	894	89	613	54	283	35
ENSG00000010322.15	2162	4714	5603	1777	4747	3447	4510	3685	5067	3033	5655	4488	3618	3606	4411	4884
ENSG00000010327.10	1836	4254	7058	1350	2605	2226	6448	3188	2312	1281	3640	2400	10027	1583	2519	5469
ENSG00000010361.13	969	465	1052	858	801	600	1358	950	734	356	417	866	262	682	1321	739
ENSG00000010379.15	509	108	69	121	46	169	311	6	68	132	8	2	2	10	82	8
ENSG00000010404.17	796	2247	2936	989	4363	1207	1950	1053	4310	2395	3492	3556	4435	3890	4114	1624
ENSG00000010438.16	0	1	7	20	6	27	12	229	2	0	3	1	0	0	4	9
ENSG00000010539.11	92	365	332	226	297	241	198	178	223	210	258	278	207	327	326	181
ENSG00000010610.9	292	662	1568	584	900	1033	1448	285	873	527	450	633	1347	401	1514	859
ENSG00000010626.14	4839	213	1134	505	2011	882	2544	248	477	298	183	1653	232	472	3738	335
ENSG00000010671.15	31	112	274	103	132	181	215	54	189	83	123	81	231	82	164	143
ENSG00000010704.18	61	324	373	161	374	158	240	86	340	86	618	297	578	104	336	267
ENSG00000010803.16	507	1110	1448	652	1333	1074	1077	789	2157	982	2020	1379	1763	1033	1099	1170
ENSG00000010810.17	1126	867	3241	957	2049	506	2550	1394	2797	451	2170	1897	1466	1422	1996	3872
ENSG00000010818.8	589	1236	1318	728	1587	473	771	306	1191	866	1078	2199	1549	2888	1801	297
ENSG00000010932.15	83	68	308	8	330	0	160	72	78	46	1138	449	115	16	177	103
ENSG00000011007.12	425	2257	1252	791	1200	1062	876	800	1085	1410	1268	1602	1244	1581	1295	1106
ENSG00000011009.10	1562	2700	1660	1232	983	3552	2280	2339	1010	1501	622	2348	664	2027	1465	3189
ENSG00000011021.21	242	881	748	264	961	626	592	364	868	718	1010	877	855	804	827	349
ENSG00000011028.13	2593	7138	4755	400	2508	1586	4301	3412	4953	2876	15200	8823	2801	3841	2222	8590
ENSG00000011052.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083.8	3	1	4	2	2	1	4	3	6	4	6	3	12	1	2	1
